title,company,location,region,salary,employment_type,url,description,source,date_found
HR Data & Analytics Consultant,Cegeka,Brussels,Brussels-Capital,"€3,800 - €4,500 + Car",Full-time,https://jobs.cegeka.com/en/vacancies,"Looking for data professionals skilled in SQL, Power BI, ETL, and data quality workflows for enterprise HR analytics.",cegeka_web,2026-09-22T20:32:29.366241
Senior BI & Azure Data Engineer,Cegeka,Hasselt,Limburg,"€4,500 - €5,500 + Package",Full-time,https://jobs.cegeka.com/en/vacancies,"Seeking expert engineers with strong SQL, Python, Azure, and data warehousing experience.",cegeka_web,2026-09-22T20:32:29.366251
Business Intelligence & Data Governance Analyst,Capgemini,Diegem,Flemish Brabant,"€4,000 - €4,800 + Package",Full-time,https://www.capgemini.com/be-en/careers/,"We need a consultant with strong SQL, Power BI, data quality, and data governance skills to support corporate client systems.",capgemini_web,2026-09-22T20:32:29.366261
Data Architect / Analytics Lead,Capgemini,Brussels,Brussels-Capital,"€5,000 - €6,200 + Car",Full-time,https://www.capgemini.com/be-en/careers/,"Lead complex data governance and BI modernization programs. Requires deep SQL, Python, and ETL architecture background.",capgemini_web,2026-09-22T20:32:29.366263
Data Analyst / Power BI Developer,Ordina,Mechelen,Antwerp Province,Competitive + Company Car,Full-time,https://www.ordina.be/nl-be/careers,"Seeking a business intelligence and data analyst with Python, SQL, and data warehousing expertise.",ordina_web,2026-09-22T20:32:29.366266
Junior Data Consultant,Ordina,Utrecht / Antwerp,Flanders,"€3,200 - €3,800",Full-time,https://www.ordina.be/nl-be/careers,"Jumpstart your consulting career with SQL, Excel, and introductory Power BI dashboard projects.",ordina_web,2026-09-22T20:32:29.366267
HR Tech & Data Consultant,Cronos,Antwerp,Antwerp Province,Negotiable based on experience,Full-time,https://www.cronos.be/vacatures,"Join the Cronos ecosystem. We are looking for data analysts with experience in HRIS, SQL, and business intelligence dashboards.",cronos_web,2026-09-22T20:32:29.366272
Data & AI Consultant,Delaware,Ghent,East Flanders,"€3,900 gross + benefits",Full-time,https://www.delaware.pro/en-be/careers,"Seeking consultants with Python, SQL, Power BI experience. Data warehousing and data governance background required.",delaware_web,2026-09-22T20:32:29.366276
SAP Analytics & BI Consultant,Delaware,Kortrijk,West Flanders,Market rate + car,Full-time,https://www.delaware.pro/en-be/careers,"Focus on enterprise reporting, SQL data models, and dashboard implementation.",delaware_web,2026-09-22T20:32:29.366277
BI Developer / Data Analyst,Inetum,Brussels,Brussels-Capital,Market rate + benefits,Full-time,https://www.inetum.com/en/belgium,"Looking for an experienced BI Developer with Python, SQL, ETL processes, and dashboard creation expertise.",inetum_web,2026-09-22T20:32:29.366279
Data Governance & Analytics Consultant,Sopra Steria,Brussels,Brussels-Capital,"€4,100 gross/month",Full-time,https://www.soprasteria.be/en/careers,"We require a data professional to manage data quality, data governance, and BI reporting for public sector clients in Brussels.",soprasteria_web,2026-09-22T20:32:29.366281
HR Data Analyst,Akkodis,Zaventem,Flemish Brabant,Not specified,Full-time,https://www.akkodis.com/en-be,"Client project for an HR Data Analyst with strong SQL, Excel, Power BI, and HR analytics background.",akkodis_web,2026-09-22T20:32:29.366284
Business Intelligence Analyst,Atos / Eviden,Brussels,Brussels-Capital,Competitive package,Full-time,https://eviden.com/careers/,"Looking for data engineers and analysts skilled in Python, SQL, ETL, and enterprise data warehousing.",atos_eviden_web,2026-09-22T20:32:29.366286
Data Consultant / BI Analyst,CGI,Leuven,Flemish Brabant,"€4,000 + benefits",Full-time,https://www.cgi.com/belgium/en/careers,"Seeking analytical consultants with SQL, Power BI, and healthcare or corporate data experience.",cgi_web,2026-09-22T20:32:29.366288
Data & People Analytics Consultant,Talan,Brussels,Brussels-Capital,"€4,200 gross",Full-time,https://talan.com/en/,"Consulting role focusing on HR analytics, workforce planning, SQL, and Power BI dashboards.",talan_web,2026-09-22T20:32:29.366290
Data Quality & BI Analyst,Pauwels Consulting,Brussels,Brussels-Capital,Attractive package + car,Full-time,https://www.pauwelsconsulting.com/en/jobs/,"Life sciences and corporate data consulting. Requires SQL, data quality, and ETL skills.",pauwels_web,2026-09-22T20:32:29.366292
Data & BI Consultant,Cream Consulting,Brussels,Brussels-Capital,Not specified,Full-time,https://www.creamconsulting.be/,"Looking for data consultants with strong SQL, Python, and visualization skills.",cream_web,2026-09-22T20:32:29.366294
Data Governance & BI Analyst,Smals,Brussels,Brussels-Capital,Public sector scale,Full-time,https://www.smals.be/en/jobs,"ICT for social security and healthcare. Looking for data analysts with SQL, data governance, and reporting experience.",smals_web,2026-09-22T20:32:29.366298
